,Participant,Presentation,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
53,sub06,3,0.149405705094932,0.47203603160536056,0.6532172035751713,-347.6221839158254,0.08436965823338755,0.3895146459570326,0.20819211441328458,-288.0955282031481,Mediator,59.526655712677325
54,sub06,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
55,sub06,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
56,sub06,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
57,sub06,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
58,sub06,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
59,sub06,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
60,sub07,0,0.24654016147564095,0.45818487391591595,0.27270591601103056,-397.9015874165273,0.10668558159917234,0.36682277284557163,0.36936930358682085,-335.4232464418712,Mediator,62.478340974656135
61,sub07,1,1.1544139556644901,0.7970005618337663,0.556002351392681,-451.3728731832775,0.10744525689030855,0.5364121102940491,0.3772062641255994,-367.0926117956856,Mediator,84.28026138759185
62,sub07,2,0.20778889165574116,0.47208090445276996,1.2765184370751204,-296.3674371135398,0.10671457531768538,0.44855847271308563,0.25250480812463305,-254.86863509696587,Mediator,41.498802016573904
63,sub07,3,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
