"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"69",1003,"ELEVATOR","test","error","BUILDING","BUILDING",5262,1,NA,"",0.593044493398088
"70",1003,"GLIDE","test","error","HANG","SLIDE",5293,0,NA,"",0.593044493398088
"71",1003,"CANYON","test","error","MOUNTAIN","LOW",2238,0,NA,"",0.593044493398088
"72",1003,"CHUNK","test","error","BLOCK","COOKIE",11134,0,NA,"",0.593044493398088
"73",1003,"MEASUREMENT","test","error","HEIGHT","LENGTH",11886,0,NA,"",0.593044493398088
"74",1003,"DIAMETER","test","error","LENGTH","WIDTH",4910,0,NA,"",0.593044493398088
"75",1003,"TEA","test","error","LEAVES","LEAVES",4222,1,NA,"",0.593044493398088
"76",1003,"ROBIN","test","error","RED","RED",1726,1,NA,"",0.593044493398088
"77",1003,"INTRODUCE","test","error","PRESENT","PRESENT",4142,1,NA,"",0.593044493398088
"78",1003,"SWING","test","error","TREE","CHILD",6847,0,NA,"",0.593044493398088
"79",1003,"DANCER","test","error","MUSIC","MUSIC",3550,1,NA,"",0.593044493398088
"80",1003,"COURAGEOUS","test","error","LION","LION",2286,1,NA,"",0.593044493398088
"81",1003,"SAFARI","test","error","DESERT","DESERT",5054,1,NA,"",0.593044493398088
"82",1004,"ROBIN","test","error","RED","",1615,0,NA,"",0.429638197845627
"83",1004,"FUGITIVE","test","error","RUN","",4079,0,NA,"",0.429638197845627
"84",1004,"LAUNDRY","test","error","SOAP","BOX",5839,0,NA,"",0.429638197845627
"85",1004,"ELEVATOR","test","error","BUILDING","BUILDING",3871,1,NA,"",0.429638197845627
"86",1004,"SWING","test","error","TREE","OCEAN",7198,0,NA,"",0.429638197845627
"87",1004,"CRUNCH","test","error","NOISE","CHURCH",8383,0,NA,"",0.429638197845627
"88",1004,"GLIDE","test","error","HANG","SLIDE",1726,0,NA,"",0.429638197845627
"89",1004,"PRESCRIPTION","test","error","PILL","VISIT",3694,0,NA,"",0.429638197845627
"90",1004,"STERN","test","error","BOAT","BRAVE",5327,0,NA,"",0.429638197845627
"91",1004,"CHIMNEY","test","error","BRICK","HOUSE",3502,0,NA,"",0.429638197845627
"92",1004,"CANYON","test","error","MOUNTAIN","NATURE",4079,0,NA,"",0.429638197845627
"93",1004,"LATIN","test","error","FRENCH","",2767,0,NA,"",0.429638197845627
"94",1004,"ORDER","test","error","FORM","",7279,0,NA,"",0.429638197845627
"95",1004,"DRACULA","test","error","SCARY","PROJECT",7118,0,NA,"",0.429638197845627
"96",1004,"WELL","test","error","DONE","DONE",1598,1,NA,"",0.429638197845627
"97",1004,"MEASUREMENT","test","error","HEIGHT","LENGTH",2703,0,NA,"",0.429638197845627
"98",1004,"PARCEL","test","error","BOX","BOX",2510,1,NA,"",0.429638197845627
"99",1004,"PORTRAY","test","error","SHOW"," RESPONSE ",14714,0,NA,"",0.429638197845627
"100",1004,"TEA","test","error","LEAVES","LEAVE",2943,1,NA,"change correct 2>1 bc typo/plural?",0.429638197845627
"101",1004,"SIDE","test","error","ORDER","ROAD",3326,0,NA,"",0.429638197845627
"102",1004,"INTRODUCE","test","error","PRESENT","",2383,0,NA,"",0.429638197845627
"103",1004,"DANCER","test","error","MUSIC","MUSIC",2494,1,NA,"",0.429638197845627
"104",1004,"EYES","test","error","COLOR","EARS",2558,0,NA,"",0.429638197845627
"105",1004,"SAIL","test","error","OCEAN","OCEAN",4174,1,NA,"",0.429638197845627
"106",1004,"CHUNK","test","error","BLOCK","BLOCK",2431,1,NA,"",0.429638197845627
"107",1004,"EMPIRE","test","error","STATE","STATE",2350,1,NA,"",0.429638197845627
"108",1004,"SAFARI","test","error","DESERT","DESEART",8287,1,NA,"change correct 2>1 bc typo",0.429638197845627
"109",1004,"COURAGEOUS","test","error","LION","LION",2111,1,NA,"",0.429638197845627
"110",1004,"DIAMETER","test","error","LENGTH","MEASUREMENT",8783,0,NA,"",0.429638197845627
"111",1005,"SAIL","test","error","OCEAN","OCEAN",4094,1,NA,"",0.782922310063913
"112",1005,"ROBIN","test","error","RED","RED",1774,1,NA,"",0.782922310063913
"113",1005,"CHIMNEY","test","error","BRICK","BRICK",2158,1,NA,"",0.782922310063913
"114",1005,"TEA","test","error","LEAVES","LEAVES",1871,1,NA,"",0.782922310063913
"115",1005,"STERN","test","error","BOAT","TALK",3102,0,NA,"",0.782922310063913
"116",1005,"DANCER","test","error","MUSIC","MUSIC",1950,1,NA,"",0.782922310063913
"117",1005,"HONEYMOON","test","error","ROMANCE","ROMANCE",2414,1,NA,"",0.782922310063913
"118",1005,"INTRODUCE","test","error","PRESENT","PRESENT",5214,1,NA,"",0.782922310063913
"119",1005,"ORDER","test","error","FORM","SHEET",12175,0,NA,"",0.782922310063913
"120",1005,"PARCEL","test","error","BOX","BOX",2206,1,NA,"",0.782922310063913
"121",1005,"COURAGEOUS","test","error","LION","LION",2174,1,NA,"",0.782922310063913
"122",1005,"EMPIRE","test","error","STATE","NATION",2542,0,NA,"",0.782922310063913
"123",1005,"GLIDE","test","error","HANG"," SHOW",6874,0,NA,"",0.782922310063913
"124",1005,"SAFARI","test","error","DESERT","DESERT",4142,1,NA,"",0.782922310063913
"125",1005,"DIAMETER","test","error","LENGTH","LENGTH",1982,1,NA,"",0.782922310063913
"126",1005,"CRUNCH","test","error","NOISE","MUNCH",6398,0,NA,"",0.782922310063913
"127",1005,"PORTRAY","test","error","SHOW","SHOW",7646,1,NA,"",0.782922310063913
"128",1005,"WELL","test","error","DONE","WISHES",4382,0,NA,"",0.782922310063913
"129",1005,"DRACULA","test","error","SCARY","SCARY",1854,1,NA,"",0.782922310063913
"130",1005,"MEASUREMENT","test","error","HEIGHT","HEIGHT",2620,1,NA,"",0.782922310063913
"131",1005,"LATIN","test","error","FRENCH","FRENCH",4605,1,NA,"",0.782922310063913
"132",1005,"ELEVATOR","test","error","BUILDING","BUILDING",3629,1,NA,"",0.782922310063913
"133",1005,"EYES","test","error","COLOR","COLOR",2478,1,NA,"",0.782922310063913
"134",1005,"LAUNDRY","test","error","SOAP","SOAP",4941,1,NA,"",0.782922310063913
"135",1005,"CHUNK","test","error","BLOCK","BLOCK",2989,1,NA,"",0.782922310063913
"136",1005,"SWING","test","error","TREE","TREE",1982,1,NA,"",0.782922310063913
"137",1005,"PRESCRIPTION","test","error","PILL","PILL",1886,1,NA,"",0.782922310063913
"138",1005,"FUGITIVE","test","error","RUN","RUN",2430,1,NA,"",0.782922310063913
"139",1005,"CANYON","test","error","MOUNTAIN","DEEP",2638,0,NA,"",0.782922310063913
"140",1005,"SIDE","test","error","ORDER","ORDER",3198,1,NA,"",0.782922310063913
"141",1006,"CHUNK","test","error","BLOCK","CHIP",3743,0,NA,"",0.595805328644106
"142",1006,"SWING","test","error","TREE","TREE",2127,1,NA,"",0.595805328644106
"143",1006,"ELEVATOR","test","error","BUILDING","UP",2510,0,NA,"",0.595805328644106
"144",1006,"CANYON","test","error","MOUNTAIN","MOUNTAIN",2447,1,NA,"",0.595805328644106
"145",1006,"PARCEL","test","error","BOX","PACKAGE",6253,0,NA,"",0.595805328644106
"146",1006,"CRUNCH","test","error","NOISE","NOISE",4863,1,NA,"",0.595805328644106
"147",1006,"EYES","test","error","COLOR","GLASSES",5214,0,NA,"",0.595805328644106
"148",1006,"LATIN","test","error","FRENCH","FRENCH",3102,1,NA,"",0.595805328644106
"149",1006,"FUGITIVE","test","error","RUN","RUN",3327,1,NA,"",0.595805328644106
"150",1006,"GLIDE","test","error","HANG","HANG",1806,1,NA,"",0.595805328644106
"151",1006,"SIDE","test","error","ORDER","ORDER",4847,1,NA,"",0.595805328644106
"152",1006,"DRACULA","test","error","SCARY","SCARY",3102,1,NA,"",0.595805328644106
"153",1006,"LAUNDRY","test","error","SOAP","DAY",2398,0,NA,"",0.595805328644106
"154",1006,"INTRODUCE","test","error","PRESENT","PRESENT",2847,1,NA,"",0.595805328644106
"155",1006,"DIAMETER","test","error","LENGTH","MEASUREMENT",13407,0,NA,"",0.595805328644106
"156",1006,"PORTRAY","test","error","SHOW","PRESENT",4398,0,NA,"",0.595805328644106
"157",1006,"SAFARI","test","error","DESERT","DESERT",2799,1,NA,"",0.595805328644106
"158",1006,"HONEYMOON","test","error","ROMANCE","ROMANTIC",2655,0,NA,"",0.595805328644106
"159",1006,"WELL","test","error","DONE","WATER",2942,0,NA,"",0.595805328644106
"160",1006,"ORDER","test","error","FORM","LAW",2287,0,NA,"",0.595805328644106
"161",1006,"SAIL","test","error","OCEAN","OCEAN",2815,1,NA,"",0.595805328644106
"162",1006,"EMPIRE","test","error","STATE","RULER",4367,0,NA,"",0.595805328644106
"163",1006,"ROBIN","test","error","RED","RED",1630,1,NA,"",0.595805328644106
"164",1006,"PRESCRIPTION","test","error","PILL","PILLS",3294,1,NA,"change 2>1 bc plural of correct",0.595805328644106
"165",1006,"CHIMNEY","test","error","BRICK","BRICK",2238,1,NA,"",0.595805328644106
"166",1006,"MEASUREMENT","test","error","HEIGHT","RULER",2078,0,NA,"",0.595805328644106
"167",1006,"STERN","test","error","BOAT","BOAT",5375,1,NA,"",0.595805328644106
"168",1006,"COURAGEOUS","test","error","LION","LION",2687,1,NA,"",0.595805328644106
