"","Participant","elab.decay","elab.temp","elab.ter","elab.LL","med.decay","med.temp","med.ter","med.LL","best.model","diff.LL"
"1",1001,1.999999998,0.569810378,1.999987685,-285.9964558,1.999999998,0.496849788,1.999987685,-246.7668818,"Mediator",39.22957392
"2",1002,1.999999998,0.598730286,1.999987685,-290.0967654,1.999999998,0.534482739,1.999987685,-253.8261386,"Mediator",36.2706268
"3",1003,1.999999998,0.580788348,1.999987685,-286.7276498,1.999999998,0.505614564,1.999987685,-246.9714161,"Mediator",39.75623369
"4",1004,1.999999998,0.6745224,1.999987685,-308.8277497,1.999999998,0.551621654,1.999987685,-263.56083,"Mediator",45.26691966
"5",1005,1.999999998,0.496238148,1.999987685,-256.3994686,1.999999998,0.461144158,1.999987685,-223.7285232,"Mediator",32.67094534
"6",1006,1.999999998,0.560912222,1.999987685,-279.4697399,1.999999998,0.51248464,1.999987685,-245.9157704,"Mediator",33.5539695
"7",1007,1.999999998,0.54174556,1.999987685,-272.8887695,1.999999998,0.487961648,1.999987685,-236.3540626,"Mediator",36.53470685
"8",1008,0.41732021,0.47800976,0.128067457,-231.9616882,1.999999998,0.480721747,1.999987685,-241.9397061,"Elaborative",-9.9780179
"9",1009,1.999999998,0.474809786,1.999987685,-252.5463537,1.999999998,0.454712642,1.999987685,-224.9165202,"Mediator",27.62983353
"10",1010,1.999999998,0.462639695,1.999987685,-242.0630049,1.999999998,0.449141282,1.999987685,-216.3045965,"Mediator",25.75840835
"11",1011,1.999999998,0.612538689,1.999987685,-292.7821246,1.999999998,0.52691287,1.999987685,-251.3883656,"Mediator",41.39375896
"12",1012,1.999999998,0.598033515,1.999987685,-293.0851201,1.999999998,0.521264157,1.999987685,-254.3091668,"Mediator",38.77595338
"13",1013,1.999999998,0.568188039,1.999987685,-283.0888713,1.999999998,0.526587277,1.999987685,-251.8281622,"Mediator",31.26070906
"14",1014,1.999999998,0.571815493,1.999987685,-285.359701,1.999999998,0.51431866,1.999987685,-250.2664057,"Mediator",35.09329531
