participant,phase,condition,cue,target,response,rt,correct,Column1,Column2
1002,learn,1,HONEYMOON,ROMANCE,PHASE,3186,2,,
1002,learn,1,GLIDE,HANG,RAIL,3152,2,,
1002,learn,1,STERN,BOAT,TOUGH,4246,2,,
1002,learn,1,EMPIRE,STATE,STATE,2592,1,,
1002,learn,1,FUGITIVE,RUN,LORD,2743,2,,
1002,learn,1,MEASUREMENT,HEIGHT,SCALE,3581,2,,
1002,learn,1,PRESCRIPTION,PILL,MEDS,2573,2,,
1002,learn,1,DIAMETER,LENGTH,WIDTH,3019,2,,
1002,learn,1,DANCER,MUSIC,MUSIC,3112,1,,
1002,learn,1,CHIMNEY,BRICK,CEILING,3902,2,,
1002,learn,1,SAFARI,DESERT,TRIP,2463,2,,
1002,learn,1,TEA,LEAVES,TIME,2058,2,,
1002,learn,1,CANYON,MOUNTAIN,VALLEY,3924,2,,
1002,learn,1,LAUNDRY,SOAP,BASKET,3469,2,,
1002,learn,1,ELEVATOR,BUILDING,SYSTEM,4117,2,,
1002,learn,1,PORTRAY,SHOW,SEE,4096,2,,
1002,learn,1,SWING,TREE,DOWN,3139,2,,
1002,learn,1,ROBIN,RED,HOOD,2869,2,,
1002,learn,1,ORDER,FORM,DOWN,4383,2,,
1002,learn,1,SIDE,ORDER,DOWN,3122,2,,
1002,test,2,LIE,STEAL, FAKE,5640,2,,
1002,test,2,GRADUATE,CAP,CAP,2495,1,,
1002,test,2,ANCESTOR,FAMILY,FAMILY,2095,1,,
1002,test,1,STERN,BOAT,BOAT,2253,1,,
1002,test,1,FUGITIVE,RUN,RUN,2255,1,,
1002,test,1,WELL,DONE,GOOD,2767,2,,
1002,test,1,LAUNDRY,SOAP,SOAP,1903,1,,
1002,test,2,CRITIC,ANALYZE,HARD,4287,2,,
1002,test,2,VISIT,LEAVE,DOWN,4335,2,,
1002,test,1,HONEYMOON,ROMANCE,ROMANCE,6766,1,,
1002,test,1,EYES,COLOR,FACE,4766,2,,
1002,test,1,PRESCRIPTION,PILL,PILL,3054,1,,
1002,test,2,BISCUIT,COOKIE,CRACKER,4399,2,,
1002,test,2,ANNUAL,PICNIC,YEAR,4350,2,,
1002,test,1,DIAMETER,LENGTH,LENGTH,3006,1,,
1002,test,2,VALLEY,LOW,MOUTAIN,10718,2,,
1002,test,2,SOUTH,WEST,WEST,1806,1,,
1002,test,2,NATURE,FOREST,LEAVES,2350,2,,
1002,test,1,EMPIRE,STATE,STATE,1950,1,,
1002,test,2,BATTERY,RADIO,LOW,2072,2,,
1002,test,2,USURP,TAKE,KING,5199,2,,
1002,test,2,COOKOUT,HAMBURGER,GRILL,3519,2,,
1002,test,2,MODEL,CAR,IMAGE,5023,2,,
1002,test,1,INTRODUCE,PRESENT,US,5151,2,,
1002,test,2,THEOREM,GEOMETRY,GEOMETRY,3311,1,,
